Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
789,Tecpan,GT,14.7623,-90.9947,2021-04-18 15:33:54,broken clouds,72.0,73,6.91,75,0,0,San Ricardo Restaurante y Hotel
794,Rio Grande,BR,-32.035,-52.0986,2021-04-18 15:33:56,scattered clouds,77.0,61,13.8,40,0,0,Hotel Atlântico Rio Grande
795,Tiarei,PF,-17.5333,-149.3333,2021-04-18 15:33:57,few clouds,77.0,78,2.3,20,0,0,Le Rocher de Tahiti
798,Mananjary,MG,-21.2167,48.3333,2021-04-18 15:33:58,overcast clouds,70.72,73,6.04,100,0,0,Vahiny Lodge
814,Paraty,BR,-23.2178,-44.7131,2021-04-18 15:32:04,broken clouds,73.4,73,3.44,75,0,0,Che Lagarto Paraty
815,Āsosa,ET,10.0667,34.5333,2021-04-18 15:34:05,overcast clouds,79.25,11,2.24,85,0,0,Blendana Hotel Assosa
824,Soledade,BR,-28.8183,-52.5103,2021-04-18 15:32:26,scattered clouds,73.4,53,8.61,39,0,0,Pousada Da Gringa
825,Diego de Almagro,CL,-26.3667,-70.05,2021-04-18 15:34:09,clear sky,79.79,23,7.07,10,0,0,hotel luna del desierto
827,Luján,AR,-34.5703,-59.105,2021-04-18 15:34:10,few clouds,75.0,78,1.99,22,0,0,Hotel Biarritz
841,Manokwari,ID,-0.8667,134.0833,2021-04-18 15:34:16,overcast clouds,78.33,80,1.14,97,0,0,Swiss Belhotel Manokwari
851,Nampula,MZ,-15.1165,39.2666,2021-04-18 15:34:20,scattered clouds,73.4,68,12.66,40,0,0,BUTIK Hotel
860,Thai Binh,VN,20.45,106.3333,2021-04-18 15:34:23,broken clouds,75.2,94,5.75,75,0,0,Sweden Hotel
870,Bushehr,IR,28.9684,50.8385,2021-04-18 15:34:28,clear sky,77.0,73,9.22,0,0,0,Yas Hotel
880,Voh,NC,-20.9667,164.7,2021-04-18 15:34:32,scattered clouds,71.28,89,4.05,31,0,0,Le gîte du Koniambo
885,Mpulungu,ZM,-8.7623,31.1141,2021-04-18 15:34:34,overcast clouds,73.4,72,11.12,91,0,0,Chela moche guest house
889,Tondano,ID,1.3038,124.9112,2021-04-18 15:34:36,few clouds,75.2,94,1.14,20,0,0,Villa Bella
893,Pāsighāt,IN,28.0667,95.3333,2021-04-18 15:34:38,overcast clouds,71.42,73,5.53,86,0,0,Siang Guest House
894,Sechura,PE,-5.5569,-80.8222,2021-04-18 15:34:38,few clouds,78.08,60,4.56,18,0,0,Hospedaje Costa Bella
